2025-06-20 10:58:44 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 10:58:44 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 10:58:44 | INFO | main:startup_event:121 | 🔍 Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 10:58:44 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 10:58:44 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 10:58:44 | WARNING | models.xception_detector:load_model:38 | ⚠️ Model file not found, creating demo model
2025-06-20 10:58:44 | ERROR | models.xception_detector:load_model:54 | ❌ Failed to load XceptionNet model: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | ERROR | core.model_manager:_load_model:108 | ❌ Failed to load model xception: Failed to load XceptionNet: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | WARNING | core.model_manager:initialize:60 | ⚠️ Failed to load model xception: Failed to load xception: Failed to load XceptionNet: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | INFO | models.mesonet_detector:load_model:32 | 🔄 Loading MesoNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/mesonet_deepfake_detector.pth
2025-06-20 10:58:44 | WARNING | models.mesonet_detector:load_model:37 | ⚠️ Model file not found, creating demo model
2025-06-20 10:58:44 | ERROR | models.mesonet_detector:load_model:53 | ❌ Failed to load MesoNet model: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | ERROR | core.model_manager:_load_model:108 | ❌ Failed to load model mesonet: Failed to load MesoNet: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | WARNING | core.model_manager:initialize:60 | ⚠️ Failed to load model mesonet: Failed to load mesonet: Failed to load MesoNet: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | INFO | core.model_manager:initialize:68 | 📊 Model initialization complete:
2025-06-20 10:58:44 | INFO | core.model_manager:initialize:69 |    ✅ Loaded: 0 models []
2025-06-20 10:58:44 | INFO | core.model_manager:initialize:70 |    ❌ Failed: 2 models
2025-06-20 10:58:44 | WARNING | core.model_manager:initialize:74 |    ❌ xception: Failed to load xception: Failed to load XceptionNet: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | WARNING | core.model_manager:initialize:74 |    ❌ mesonet: Failed to load mesonet: Failed to load MesoNet: module 'torchvision.transforms' has no attribute 'TensorType'
2025-06-20 10:58:44 | WARNING | core.model_manager:initialize:78 | ⚠️ No models could be loaded! The API will run in limited mode.
2025-06-20 10:58:44 | INFO | main:startup_event:133 | ✅ Sherlock backend startup complete!
2025-06-20 11:00:24 | INFO | main:shutdown_event:138 | 🛑 Sherlock backend shutting down...
2025-06-20 11:00:24 | INFO | main:shutdown_event:145 | ✅ Sherlock backend shutdown complete!
2025-06-20 11:07:29 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 11:07:29 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 11:07:29 | INFO | main:startup_event:121 | 🔍 Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 11:07:29 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 11:07:29 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 11:07:29 | ERROR | core.model_manager:initialize:71 | ❌ Failed to load model xception: 'type'
2025-06-20 11:08:02 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 11:08:02 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 11:08:02 | INFO | main:startup_event:121 | 🔍 Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 11:08:02 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 11:08:02 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 11:08:02 | ERROR | core.model_manager:initialize:71 | ❌ Failed to load model xception: XceptionDetector.__init__() missing 1 required positional argument: 'config'
2025-06-20 11:08:26 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 11:08:26 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 11:08:26 | INFO | main:startup_event:121 | 🔍 Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 11:08:26 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 11:08:26 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 11:08:26 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 11:08:26 | WARNING | models.xception_detector:load_model:38 | ⚠️ Model file not found, creating demo model
2025-06-20 11:08:26 | INFO | models.xception_detector:load_model:51 | ✅ XceptionNet model loaded successfully
2025-06-20 11:08:26 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 11:08:26 | INFO | core.model_manager:initialize:49 | 📚 Loading model: mesonet
2025-06-20 11:08:26 | INFO | models.mesonet_detector:load_model:32 | 🔄 Loading MesoNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/mesonet_deepfake_detector.pth
2025-06-20 11:08:26 | WARNING | models.mesonet_detector:load_model:37 | ⚠️ Model file not found, creating demo model
2025-06-20 11:08:26 | INFO | models.mesonet_detector:load_model:50 | ✅ MesoNet model loaded successfully
2025-06-20 11:08:26 | SUCCESS | core.model_manager:initialize:68 | ✅ Model mesonet loaded successfully
2025-06-20 11:08:26 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 2 models
2025-06-20 11:08:26 | INFO | main:startup_event:133 | ✅ Sherlock backend startup complete!
2025-06-20 11:09:26 | INFO | main:shutdown_event:138 | 🛑 Sherlock backend shutting down...
2025-06-20 11:09:26 | INFO | main:shutdown_event:145 | ✅ Sherlock backend shutdown complete!
2025-06-20 11:10:19 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 11:10:19 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 11:10:19 | INFO | main:startup_event:121 | 🔍 Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 11:10:19 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 11:10:19 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 11:10:19 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 11:10:19 | WARNING | models.xception_detector:load_model:38 | ⚠️ Model file not found, creating demo model
2025-06-20 11:10:19 | INFO | models.xception_detector:load_model:51 | ✅ XceptionNet model loaded successfully
2025-06-20 11:10:19 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 11:10:19 | INFO | core.model_manager:initialize:49 | 📚 Loading model: mesonet
2025-06-20 11:10:19 | INFO | models.mesonet_detector:load_model:32 | 🔄 Loading MesoNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/mesonet_deepfake_detector.pth
2025-06-20 11:10:19 | WARNING | models.mesonet_detector:load_model:37 | ⚠️ Model file not found, creating demo model
2025-06-20 11:10:19 | INFO | models.mesonet_detector:load_model:50 | ✅ MesoNet model loaded successfully
2025-06-20 11:10:19 | SUCCESS | core.model_manager:initialize:68 | ✅ Model mesonet loaded successfully
2025-06-20 11:10:19 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 2 models
2025-06-20 11:10:19 | INFO | main:startup_event:133 | ✅ Sherlock backend startup complete!
2025-06-20 11:10:21 | INFO | main:log_requests:70 | Request: GET /
2025-06-20 11:10:21 | INFO | main:log_requests:77 | Response: 200 | Time: 0.000s | Path: /
2025-06-20 11:10:27 | INFO | main:log_requests:70 | Request: GET /api/v1/health
2025-06-20 11:10:27 | INFO | main:log_requests:77 | Response: 200 | Time: 0.002s | Path: /api/v1/health
2025-06-20 11:15:39 | INFO | main:log_requests:70 | Request: GET /api/v1/health
2025-06-20 11:15:39 | INFO | main:log_requests:77 | Response: 200 | Time: 0.009s | Path: /api/v1/health
2025-06-20 11:15:45 | INFO | main:log_requests:70 | Request: GET /api/v1/models
2025-06-20 11:15:45 | INFO | main:log_requests:77 | Response: 200 | Time: 0.002s | Path: /api/v1/models
2025-06-20 11:16:00 | INFO | main:log_requests:70 | Request: GET /api/v1/health/detailed
2025-06-20 11:16:01 | INFO | main:log_requests:77 | Response: 200 | Time: 1.004s | Path: /api/v1/health/detailed
2025-06-20 11:17:08 | INFO | main:log_requests:70 | Request: GET /api/v1/tasks
2025-06-20 11:17:08 | INFO | main:log_requests:77 | Response: 200 | Time: 0.005s | Path: /api/v1/tasks
2025-06-20 11:17:52 | INFO | main:log_requests:70 | Request: POST /api/v1/upload
2025-06-20 11:17:52 | INFO | main:log_requests:77 | Response: 422 | Time: 0.004s | Path: /api/v1/upload
2025-06-20 11:18:27 | INFO | main:log_requests:70 | Request: GET /api/v1/health
2025-06-20 11:18:27 | INFO | main:log_requests:77 | Response: 200 | Time: 0.001s | Path: /api/v1/health
2025-06-20 11:22:09 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 11:22:09 | INFO | main:startup_event:119 | 🚀 Sherlock backend starting up...
2025-06-20 11:22:09 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 11:22:09 | INFO | main:startup_event:120 | 📊 Environment: development
2025-06-20 11:22:09 | INFO | main:startup_event:121 | 🔍 Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
